user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
bin237	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium mobile	GCF_000711215.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium mobile	97.14	0.95	GCF_000711215.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium mobile	97.14	0.95	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	90.67	11	N/A	Genome has more than 26.2% of markers with multiple hits
bin419	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__0-14-0-20-30-16;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003559395.1	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__0-14-0-20-30-16;f__CSSED10-239;g__CSSED10-239;s__CSSED10-239 sp003559395	77.47	0.38	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__0-14-0-20-30-16;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	11.57	11	0.5970518562607203	Genome domain questionable ( 3.3% Bacterial, 9.0% Archaeal)
bin98	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__	N/A	N/A	N/A	N/A	N/A	GCF_001560915.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915	89.27	0.78	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__	Placement	taxonomic classification fully defined by topology	GCF_000350305.1, s__Methanomethylophilus sp000350305, 95.0, 80.69, 0.44; GCF_000300255.2, s__Methanomethylophilus alvus, 95.0, 80.25, 0.43; GCA_002503545.1, s__Methanomethylophilus sp002503545, 95.0, 79.89, 0.42; GCF_001481295.1, s__Methanomethylophilus sp001481295, 95.0, 79.15, 0.39	70.04	11	0.9945409231532738	N/A
bin87	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	82.12	11	0.8763871179780396	N/A
bin131	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__	N/A	N/A	N/A	N/A	N/A	GCA_006954405.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	78.94	0.26	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.74	11	0.8741509780629961	N/A
bin222	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	49.16	11	0.8235384118152312	N/A
bin372	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	N/A	N/A	N/A	N/A	N/A	GCF_003268005.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera sp003268005	88.48	0.11	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	Placement	taxonomic classification fully defined by topology	GCA_003266145.1, s__Methanosphaera sp003266145, 95.0, 79.76, 0.07; GCA_003266065.1, s__Methanosphaera sp003266065, 95.0, 78.35, 0.07; GCA_013331465.1, s__Methanosphaera sp10242u, 95.0, 76.36, 0.04	13.49	11	0.9966435704396295	Genome domain questionable ( 9.2% Bacterial, 15.6% Archaeal)
bin293	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	Placement	taxonomic classification fully defined by topology	GCA_900320515.1, s__Methanobrevibacter_A sp900320515, 95.0, 83.77, 0.5; GCA_900316895.1, s__Methanobrevibacter_A sp900316895, 95.0, 83.43, 0.5; GCF_003111625.1, s__Methanobrevibacter_A thaueri, 95.0, 81.18, 0.46; GCA_900314695.1, s__Methanobrevibacter_A sp900314695, 95.0, 80.4, 0.36; GCA_900314615.1, s__Methanobrevibacter_A sp900314615, 95.0, 79.98, 0.36; GCA_900313645.1, s__Methanobrevibacter_A sp900313645, 95.0, 79.92, 0.43; GCF_001548675.1, s__Methanobrevibacter_A sp001548675, 95.0, 79.8, 0.36; GCA_900318035.1, s__Methanobrevibacter_A sp900318035, 95.0, 79.66, 0.37; GCF_003814835.1, s__Methanobrevibacter_A gottschalkii, 95.0, 79.63, 0.23; GCF_001477655.1, s__Methanobrevibacter_A millerae, 95.0, 79.38, 0.25; GCA_900319985.1, s__Methanobrevibacter_A sp900319985, 95.0, 79.26, 0.3; GCA_900319535.1, s__Methanobrevibacter_A sp900319535, 95.0, 79.25, 0.18; GCA_900320955.1, s__Methanobrevibacter_A sp900320955, 95.0, 79.15, 0.28; GCA_900317865.1, s__Methanobrevibacter_A sp900317865, 95.0, 78.39, 0.21	48.46	11	0.9867083169304649	N/A
bin344	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_004553595.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter ruminantium_A	92.54	0.66	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	Placement	taxonomic classification fully defined by topology	GCF_900114585.1, s__Methanobrevibacter olleyae, 95.0, 82.48, 0.74; GCF_000024185.1, s__Methanobrevibacter ruminantium, 95.0, 81.06, 0.48; GCA_900321995.1, s__Methanobrevibacter sp900321995, 95.0, 80.38, 0.63; GCA_900314635.1, s__Methanobrevibacter sp900314635, 95.0, 78.92, 0.36	84.93	11	0.9904384108937285	Genome has more than 48.4% of markers with multiple hits
bin267	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_004553595.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter ruminantium_A	85.32	0.44	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	Placement	taxonomic classification fully defined by topology	GCF_900114585.1, s__Methanobrevibacter olleyae, 95.0, 80.59, 0.37; GCF_000024185.1, s__Methanobrevibacter ruminantium, 95.0, 79.24, 0.39; GCA_900321995.1, s__Methanobrevibacter sp900321995, 95.0, 79.21, 0.37; GCA_900314635.1, s__Methanobrevibacter sp900314635, 95.0, 77.0, 0.24	37.49	11	0.9800024774474724	Genome has more than 11.5% of markers with multiple hits
bin366	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__RUG521 sp900319675	GCA_900319675.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__RUG521 sp900319675	96.89	0.79	GCA_900319675.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__RUG521 sp900319675	96.89	0.79	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	13.02	11	N/A	N/A
bin62	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UBA3206;s__UBA3206 sp002363705	GCA_002363705.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UBA3206;s__UBA3206 sp002363705	97.24	0.78	GCA_002363705.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UBA3206;s__UBA3206 sp002363705	97.24	0.78	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	80.4	11	N/A	N/A
